lemma,definition
شَجٍ,صفة مشبهة لفعل شَجِي
عَلْجَم,الغَدِير الكثير الماء.
خَرَانِف,جمع للاسم خُرَانِف
رَائِع,المُعْجِب.
عُهُور,مصدر لفعل عَهَر
مَخَابِئ,جمع للاسم مَخْبَأ
هَوَيَان,مصدر لفعل هَوَى
بَلُّوعَة,ثقب يُعَدّ لتصريف الماء.
عَيْلَة,الفَقْر والحاجة.
بُطَين,المَنْزِل الثَّاني من منازل القَمَر، وهو ثلاثة كواكبَ صِغار مُسْتَوِيَة  التثليث، كأَنها أَثافيّ. وهو بَعد (الشَّرَطَان) وقبل (الثُّريَّا).
بَعِيد,الذي لا قرابة بينك وبينه.
زُرْقَة,مصدر لفعل زَرِق
دَجْر,الخَشبة الَّتِي تُشَدّ عليها حديدة المحراث.
رُسَيْلَة,تصغير الرِّسْلَة.
مَقْبَرَة,القَبْر.
مَشَاوِيل,جمع للاسم مِشْوَال
أَشْعَر,اللَّحْم تحت الظُّفْر.
وُلُوع,مصدر لفعل وَلِعَ
أَرَاجِيح,جمع للاسم أُرْجُوحَة
قُبَاب,السَّيْف القاطع.
أَجْل,مصدر لفعل أَجَلَ
قَرَاضِبَة,جمع للاسم قِرْضَاب
مَنْقَبَة,الطَّرِيق الضَّيِّق بين دارَين لا يستطاع سُلُوكُه.
حَوَائِق,جمع للاسم حُوَاقَة
أَمْخِطَة,جمع للاسم مُخَاط
كُنًى,جمع للاسم كُنْيَة
سُهَيْل,نجمٌ. قيل عِنْد طلوعه تنضج الفواكه وينقضي القيظ، وهو من النُّجُوم اليمانية.
فَلْي,مصدر لفعل فَلَى
صِقَاع,حَبْلٌ يُمَدُّ على أَعْلَى الخِبَاء، ويُشَدُّ طرفاه على وتِدَين ليثبته من شِدَّة الرِّيح.
أَجْوَث,صفة مشبهة لفعل جَوِث
شَمَارِج,جمع للاسم شُمْرُج
مُطَوَّقَة,القارورة الكبيرة لها عُنقٌ.
