lemma,definition
ضَوْن,الإِنْفَحَة. وهي: [مادَّةٌ صَفراء تُسْتَخرج من الجُزْء الباطنيّ من مَعِدَةِ الرَّضِيع من العجول أَو الجداء، بها خميرة تُجَبِّن اللَّبَن].
أَرْفَغ,من العَيْش: الخصيب الوَاسِع الطَّيِّب.
شَبْر,مصدر لفعل شَبَر
فَاصِلَة,خَرَزَةٌ خاصَّةٌ تفصِلُ بين الخرزتين في العِقد ونحوه.
قَطِيب,من الشَّرَاب: الممزوج.
عَبَاقَة,مصدر لفعل عَبِق
قَرَارَة,الماءُ البارد يُصَبُّ في القِدْر بعد الطَّبْخ لئلاَّ تحترق.
حِقَب,جمع للاسم حِقْبَة
أَذْيَال,جمع للاسم ذَيْل
مِعَاء,المَصِيرُ. واحدُ المُصْران. [مذكَّر وقد يُؤَنَّث] .
صِدَار,ثَوْبٌ بلا كُمَّيْن يغطَّى به الصَّدُر.
أَزيَب,القصير المتقارب الخطْو.
عُوَّار,الغَمَصُ يُمِضُّ العَيْن.
عَضُوض,البَعِير يرعى العُضّ.
كَسْكَسَة,إِلحاق كاف المُؤَنَّث سينًا عِنْد الوقف دون الوصل، فيقولون: أَعْطَيْتُكِسْ، ومِنْكِسْ. في أَعْطَيْتُكِ، ومِنْكِ. وهي لغة هوازن.
سَقْع,مصدر لفعل سَقَع
مِقْدَعَة,عَصًا يَقْدَع بها ويَدفَعُ بها الإِنْسَانُ عن نفسه.
رَكَائِب,جمع للاسم رِكَاب
كُمْتَة,لونٌ أَسود يخالطه حمرة.
فِقْرَة,واحدة من عظام السِّلسلة العَظْميَّة الظَّهريَّة الممتدة من الرَّأْس إِلى العُصْعُص، وعِدَّتُها في الإِنْسَان ثلاثٌ وثلاثون فَقَارة: سَبْعٌ في العُنُق، واثنتا عشرة في الظَّهر بين الأَضلاع، وخمس في البَطْن، وخمسٌ في العَجُز، وأَربع في العُصْعُص.
مُلاَءَة,المِلْحَفَة.
سَوِيَّة,الاستواء والاعتدال.
حِنْجِل,من النِّساءِ: الضَّخمة الصّخَّابة البَذِيَّة.
أُشَابَة,في الكيمياء: مادة مكونة من اتحاد معْدِنين أَو أكثر أَو من اتحاد معدِن بغير معدِن.
صَيْهَد,الحرُّ الشَّديد.
مُصْطَاد,الصَّائد.
شَدَائِد,جمع للاسم شَدِيد
عَظَائِم,جمع للاسم عَظِيمَة
سَرْج,رَحْلُ الدَّابَّة.
مَخَاذِف,جمع للاسم مِخْذَفَة
عِيط,(بالكسر مبنية): صَوْت الفتيان النَّزِقين إِذا تصايحوا.
شِكَال,القَيْد.
وَسْنَة,مصدر لفعل وَسِن
بِذْلَة,من الثِّياب: ما يُلْبَس في المهنة والعَمَل ولا يُصان.
فَارِس,الماهر في ركوب الخيل.
ثُرَيَّا,مجموعة من النُّجُوم في صورة الثّور، وكَلِمَة النّجم علم عليها.  وهو المَنْزِل الثَّالث من منازل القَمَر، وهو بعد (البُطَيْن) وقبل (الدَّبَران).
ضَنَا,المَرَض، أَو الهُزال الشَّديد.
مُتَهَجِّد,المُصَلِّي لَيْلاً.
شِمْلَة,هَيْئَة الاشتمال.
لَبْطَة,الزُّكام.
مَوَاعِيد,جمع للاسم مِيْعَاد
غَسَقَان,مصدر لفعل غَسَق
بَطّ,مصدر لفعل بَطّ
حِسَلة,جمع للاسم حِسْل
فَتِيتَة,القِطْعَة من الشَّيْءِ المَفْتُوت.
شُؤْم,الشَّرّ.
جَدَر,وَرَمٌ يأْخذ في الْحَلْق. الواحدة: جَدَرَة.
طَافَّة,ما بين الجبال والقيعان.
سَاذِج,الخالص غير المَشُوب، وغير المنقوش.
أَخِر,الأخير.
لَهَاذِم,جمع للاسم لَهْذَم
عِرِفَّان,مصدر لفعل عَرَف
هَزُوم,الشَّيْءُ يَرِنُّ رنينًا بَيِّنًا.
غُضَّة,الذِّلَّةُ والمنقَصَة.
زَمُوخ,من العقبات: البعيدة أَو الشَّدِيدة.
فَازِرَة,طَريقٌ في الرِّمالِ المتلبِّدة المُستوية كأَنَّها صَدْعٌ في الأَرْض مُنْقَادٌ طويلٌ خِلْقَةً.
يَسَارَة,السُّهولة.
تَبَاع,مصدر لفعل تَبِعَ
زِحَام,تدافع النَّاس وغيرهم في مكان ضيّق.
بَذْرَة,واحدةُ البَذْر.
هَضُوم,كلُّ مادة تهضِم الطَّعَام، كاللُّعاب، والصَّفراء وغيرهما من الموادِّ السَّائِلة، التي تُفرزها غُدَدٌ معيَّنة في الجهاز الهَضْمِي وتنصبُّ في القناة الهَضْمِيَّة فَتَهْضِمُ عناصِرَ الطَّعَام المختلفة.
طَوِيلَة,الطِّوَل: وهو الحَبْلُ يُرْبَطُ في وَتِدٍ ونحوه ويُطَوَّل للدَّابَّة فَتَرْعَى مُقَيَّدةً به.
نَزِيّ,المندفع.
بَثْع,جمع للاسم بَثْعَة
حَازِق,من ضاق عليْه خُفُّه فَحَزَق رجلَه.
صِرْم,القِطْعَة مِن كُلِّ شَيْءٍ.
ضِرَاء,جمع للاسم ضِرْو
نَطْل,مصدر لفعل نَطَل
عُسْبَان,جمع للاسم عَسِيب
الذَّات,النَّفْس والشَّخْص.
أَعِقَّة,جمع للاسم عَقِيق
مَيْت,الذي فَارق الحياة.
قَفَّال,مَن يَصنع الأَقفال.
نَاظِرَة,مؤنَّث النَّاظر.
طَوَاعيَة,مصدر لفعل طَاع
خِلْب,الخُلْب.
نَفِيذ,النَّافِذ.
رَفَق,السَّهْل المطلب.
جُرَع,جمع للاسم جُرْعَة
سُخْمَة,السَّواد.
أَعْلاَد,جمع للاسم عَلْد
مِخْوَض,آلةٌ لخلط الشَّرَاب وتحريكه.
دِرَك,جمع للاسم دِرْكَة
حُذَايَة,النَّصيب من الغَنِيمَة.
جِمَاع,جِمَاعُ كلّ شيء: مُجْتَمَعُ أَصْلِهِ.
حَشَد,من النَّاس: الجَمَاعَة.
فَلّ,كسرٌ في حدِّ السَّيْف.
حِسَب,جمع للاسم حِسْبَة
أَخْطَاب,جمع للاسم خِطْب
عُيَيْنَة,تَصغير عَيْن التي هي عضو الإبصار.
طَاب,الطِّيب: وهو ما يُتَطَيَّبُ به من عطرٍ ونحوه.
عُرُوق,مصدر لفعل عَرَق
مُحْصِن,صفة مشبهة لفعل أَحْصَنَ
تَنْسَاس,مصدر لفعل نَسّ
حَزّ,من الرِّجَال: غليظُ الكَلاَم.
شَذَا,قوَّة الرَّائِحَة.
مُسْتَوْحِد,المنفرد.
رُثْأَة,مصدر لفعل رَثِئ
رَفْرَاف,الجناح.
لَذْلاَذ,صفة مشبهة لفعل لَذْلَذ
تَصْغِير,في الصّرف: زيادة ياء ساكنة بعد ثاني الاسم مع تغير هيئته لغرض، كالتحقير والتَّمليح.
هَاجِن,صفة مشبهة لفعل هَجَن
دُمْس,من الأُمور: العظام. (كأنه جمع دَامِس).
كُوَر,جمع للاسم كُوْرَة
مَحَاجِن,جمع للاسم مِحْجَن
لَمْيَاء,صفة مشبهة لفعل لَمَى
أَحَلّ,صفة مشبهة لفعل حَلَّ
مِعْرَض,ثَوبُ العَرْض الذي تَلْبسه عارِضَة الأَزياء، أَو الفَتَاة لَيْلَةَ زَفافها.
وَجُور,الدَّواء يُصَبُّ في الحَلْق.
أَحْسَاك,جمع للاسم حَسَك
خِبَّة,خِرقَةُ طَّويلة كالعِصَابة تَعصِب بها اليد.
جَهًى,مصدر لفعل جَهِي
أَلْب,القَوْم يجتمعون على عداوة إِنسان.
ذُهُول,مصدر لفعل ذَهَل
رَقِيع,الأَحْمَق السَّمْج.
ضَمَاضِم,جمع للاسم ضَمْضَم
مَرَدَة,جمع للاسم مَارِد
عَوِر,الرَّديء السِّيرة.
مِيْلَغ,الإِناءُ يَلَغُ فيه الكَلْب.
مَسَاخِر,جمع للاسم مَسْخَرَة
جَلاَجِل,جمع للاسم جُلاَجِل
زُهْق,جمع للاسم زَاهِق
الصَّبُور,اسمٌ من أَسماء الله تَعَالَى، ومعناهُ أَنَّهُ لا يُعَاجِل العُصَاةَ بالانْتِقَامِ مع القدرة عليهم.
إِرْس,الأَصْل.
خِشَاشَة,العُودُ الذي يُجْعل في أَنفِ البَعير.
عَفْرَاء,الأَرْضُ البَيْضَاء لم توطَأْ.
قَنِيع,صفة مشبهة لفعل قَنِع
هَفَاة,من الرِّجَال: الأَحْمَق.
جَهَارٍ,جمع للاسم جَهْرَاء
رُفَت,الذي يَرْفُتُ الشَّيْءَ ويدقُّه ويكسره.
قَمَل,مصدر لفعل قَمِل
نَمْق,مصدر لفعل نَمَق
مَثَالِب,جمع للاسم مَثْلَبَة
جُنَّة,السُّتْرَة.
غَزْر,إِناءٌ من خُوص وحَلْفَاء.
أَرَاجِيز,جمع للاسم أُرْجُوزَة
لِيَاط,اللَّوْن.
حَبْط,مصدر لفعل حَبَطَ
وَسْوَاس,الشَّيْطَان.
مَسْبُرَة,من الجرح: نهايته.
سِبْرَاتَة,مؤنَّث سِبْرَات.
سَوْك,مصدر لفعل سَاك
نَسْفَة,حجارةٌ سُودٌ ذاتُ نَخاريبَ يُنْسَفُ بها الوَسَخ عن الأَقدام في الحَمَّامات.
لُعَاق,ما بَقِيَ في فمِ الآكل من طَعام لَعِقَه.
حِثْل,الهَزِيلُ الضَّئِيلُ.
زُمَيْن,يراد به تراخي المدة.
جَوَالّ,جمع للاسم جَالَّة
خَضْف,مصدر لفعل خَضَف
سَحَّاحَة,في علم الكيمياء: أُنبوبةٌ زجاجيةٌ ذات درجات تنتهي من أَسفل بصنبور، تسْتخدم في التّحليل الكيمياويّ.
أَيْسَار,جمع للاسم يَاسِر
دَلِهَة,صفة مشبهة لفعل دَلِه
حَنَس,مصدر لفعل حَنِسَ
جَشَن,مصدر لفعل جَشِن
مَنِين,الضَّعيف.
رَاجِح,في علم الفلسفة: ما تَرَجَّحَ وجوده على عدمه، أَو صِدْقُه على كذبه.
كَمَد,مصدر لفعل كَمِد
جَلْهَاء,صفة مشبهة لفعل جَلِه
مَحْضُور,من الأَشياء: السَّرِيع التّلف.
شَهَادَة,أن يخبر بما رأى.
نَعْر,مصدر لفعل نَعَر
مِكْشَاح,حَدُّ السَّيْف.
وَابِل,المَطَر الشَّديد الضَّخم القَطْر.
عُتَقَاء,جمع للاسم عَتِيق
عَرَارَة,سُوءُ الخُلُق.
هَلْج,أَخفُّ النَّوم.
نَاكِز,صفة مشبهة لفعل نَكِز
عُجَامَة,ما عَجمْتَهُ واختبرتَه.
دَفْن,الرَّجُل الخامل.
جَمَام,الرَّاحَة.
لَمْق,مصدر لفعل لَمَق
كَلَع,أَشَدُّ الجَرَب.
رَهْج,الغُبَار.
ظَرِبَان,حيوان من رتبة اللَّواحِم والفَصِيلة السَّمُّوريّة، أصغر من السِّنَّوْر، أَصْلَمُ الأُذُنَيْن، مجتمع الرَّأْس، طويل الخَطْم، قصير القوائم، مُنْتِنُ الرَّائِحَة.
جُعَر,جمع للاسم جُعْرَة
مَمَالِس,جمع للاسم مِمْلَسَة
لَيَان,اللَّيِّن.
صَبَاحَة,مصدر لفعل صَبُح
مَسَامّ,منافذ العَرق في البدن.
مَخْزَن,مكانُ الخَزْنِ.
تَلْمِيع,في الخيل: أَن يكون في الجسد بُقَعٌ تخالف سائرَ لَوْنها.
أَنِيت,مصدر لفعل أَنَت
بَكَرَة,خشبة مستديرة في جوفها مِحْور تدور عليه.
مِقْنَع,ما تَسْتَر به المرأَةُ رأْسَها.
مَرَانَة,اللِّيْن.
جُرْزَة,الحُزْمة من القَتِّ ونحوه.
دَلُوج,مبالغة للفعل دَلَج
خُبُوت,جمع للاسم خَبْت
وَقْم,مصدر لفعل وَقَم
خَوْن,مصدر لفعل خَانَ
خِرْبِز,البِطِّيخ.
سَنْجَق,كانت في التقسيم الإِداري: اللِّواء، أَو المديرية.
تُلُم,جمع للاسم تِلاَم
مَرَاتِب,جمع للاسم مَرْتَبَة
نَظَّار,الشَّديد النَّظَر.
حُفَاصَة,ما يُحْفَص.
هِرَاش,الخِصَام والقتال.
قَوَاطِع,من الطُّيُور: المهاجرة تَعيش في فصل من الفصول بأَحد الأَقاليم وتهجره إِلى آخرَ في الفصل التَّالي.
مَشِيج,كلُّ شيئين مختلطين، أَو كلُّ لونين اختلطا.
جَرَاءَة,مصدر لفعل جَرُؤ
أَمِض,صفة مشبهة لفعل أَمِض
قَطَم,مصدر لفعل قَطِم
أَخْلاَد,جمع للاسم خَلَد
لَهْط,مصدر لفعل لَهَط
طِرْق,الفَخّ.
مَبَاقِل,جمع للاسم مَبْقَلَة
غَفَى,التِّبْنُ في بَيْدره.
كِفَّة,كلُّ شيءٍ مستدير.
سَكُور,الكثير السُّكْر.
بُغًى,جمع للاسم بُغْيَة
سَنْدَرَة,مكيالٌ ضَخمٌ.
رَوَاكِب,جمع للاسم رَاكِبَة
نَثْل,مصدر لفعل نَثَل
بَوْز,مصدر لفعل بَازَ
حَثِرَة,صفة مشبهة لفعل حَثِرَ
هُبَات,مصدر لفعل هَبَت
تَخْفِيف,عِنْد القرّاء والصَّرفيين: التَّخفُّفُ في النُّطْق بالهمزة، وذلك: -بسقوطها.  -أَو بإِبدالها حرفَ مدّ، أَو ياءً، أَو واواً.  -أَو بالنُّطْق بها بينَ بيْنَ، أَي بيْن مخرج الهخمزة، ومخرج الحرف الذي من حركتها.
صِبَاح,جمع للاسم صُبَاح
بُذَيْرَة,في علم النَّبَات: الحَبَّة المَبْدَئِيَّة قبل تمام تكوينها في نباتٍ بادي الزَّهْر.
أَبْقَاط,جمع للاسم بَقَط
سَتْرَة,ما يُسْتَر به.
فُرْصَة,النَّوبة تكون بين القَوْمِ يتناوبُونَها على الماء.
جَحَاجِحَة,جمع للاسم جَحْجَاح
شِيزَى,خشب أَسودُ تُعْمَلُ منه الأَمشاط والجِفَان ونحوهُما، وقد يطلَقُ كلٌّ منهما على ما صُنِعَ منه.
غِسَاس,جمع للاسم غُسّ
رَشَد,مصدر لفعل رَشِد
شِفَاع,جمع للاسم شَفْع
رَثْآء,صفة مشبهة لفعل رَثِئ
قَصْبَة,الخُصْلَة المُلْتَوِيَة من الشَّعْر.
صَحُون,من الخيل: الرَّفَّاس.
وِشَام,جمع للاسم وَشْم
شَهْلاَء,صفة مشبهة لفعل شَهِل
حُبَاسَة,شبهُ حوضٍ يُجْمَعُ فيه الماءُ.
نَحْطَة,داءٌ يصيب الخيلَ والإِبل في رئاتها فلا تكاد تسلم منه.
أَلْوَاح,جمع للاسم لَوْح
أَبَاهِل,جمع للاسم أَبْهَل
خِبَط,جمع للاسم خِبْطَة
عَشًا,مصدر لفعل عَشِي
تَحْلِئَة,شَعرُ وجه الأَديم ووسَخه وسواده.
رَحَّالَة,الكثير الرِّحلة. (والتَّاء للمبالغة).
غَبْيَة,الدُّفعة الشَّديدة من المَطَر.
بُخَتَاء,جمع للاسم بَخِيت
زَغَل,الغِشُّ.
أَخْشَاف,جمع للاسم خَشْف
رُغْب,مصدر لفعل رَغُب
قَأْب,مصدر لفعل قَأَب
شُغَاف,مرض يصيب شَغاف القَلْب.
تَقْطِير,تَنقيةُ الماءِ وتصفيتُهُ مما قد يعلق به من موادَّ غريبةٍ ضَارَّة.
مَخَاضِيد,جمع للاسم مَخْضُود
أَمْرَاق,جمع للاسم مَرْق
أَطْرَاق,جمع للاسم طِرْق
شُصُوّ,مصدر لفعل شَصَا
إِسْقَالَة,ما يربطه البنَّاؤون من الأَخشاب والحبال، ليصِلوا بها إِلى المحال المرتفعة.
قُطْرُب,نباتٌ شَائك يحمِلُ حبّاً كحَبِّ الحنطة يَلْصَقُ بمن يمرُّ به.
أَفَاضِل,جمع للاسم أَفْضَل
أَشَاش,مصدر لفعل أَشَّ
أَجْلَى,الصُّبْح.
رَعّ,مصدر لفعل رَعّ
خَضَارِم,جمع للاسم خُضَارِم
عَكْر,القِطعة الضَّخمة من الإِبل.
وَرْع,مصدر لفعل وَرَع
نَشْرَة,النَّسِيم.
بُصْع,جمع للاسم بَصِيع
سُكُوت,مصدر لفعل سَكَت
دُفَنَاء,جمع للاسم دَفِين
أَكْوَار,جمع للاسم كَوْر
سِهْل,ترابٌ كالرَّمْل يجيءُ به الماءُ.
لاَمَّة,كلُّ ما يُخاف من فَزَع أَو شَرٍّ أَو مَسٍّ.
ضَمَّة,حَلْبَةُ الخيل في الرهان.
عَائِذ,اللاّجئ والمُحتَمِي.
الأَصْلِيّ,ما كان أَصْلاً في معناه. ويُقَابَلُ بالفرعيّ، أَو الزَّائد، أَو الاحْتِيَاطيّ، أَو المقلَّد.
بَوْر,مصدر لفعل بَارَ
حَيْر,شِبه الحظيرة أَو الحِمى.
أَتان,الحِمارة، أنثى الحِمَار.
حِصَار,قَيْد الدَّابَّة.
ذِبْحَة,التهاب في الحلق مصحوب بورم ينشأَ من عدوَى ميكروبِيَّة.
مَآجِن,جمع للاسم مِئْجَنَة
فُرْسَان,جمع للاسم فَارِس
كَرَبَة,الزِّرُّ يكون فيه رأْسُ عمودِ الخيمة.
غِلَظ,ضِدّ الرّقة في خَلْقٍ وخُلُقٍ وعَقْلٍ وفِعْلٍ ومَنْطِقٍ وعَيْشٍ وما أَشبه ذلك.
كُرْكُمَان,عشبٌ حوليٌّ من الفَصِيلة الشَّفوية، ذو زهر أَبيضَ وأَزرق، وثمرته قرن قصير له منقار طويل، به بذورٌ مثل حبِّ الحُلبة إِلاَّ أَنَّه أَصغر منه، تأكله السّائمة.
لَوَاطِف,من الأَضلاع: أَقربُها إِلى الصَّدْر.
رِمْخ,الشَّجَر المجتمع.
جَهَمَات,جمع للاسم جَهْمَة
مَجَارّ,جمع للاسم مِجَرّ
حَفْن,مصدر لفعل حَفَنَ
رِكْوَة,إِناءٌ صغيرٌ من جلدٍ يُشْرَب فيه الماء.
رِثَد,جمع للاسم رِثْدَة
طُرْش,جمع للاسم أَطْرَش
مَلْز,مصدر لفعل مَلَز
جَوَائِف,جمع للاسم جَائِف
حِبْنَة,واحدة الحِبْن: الدُّمَّل.
ضَرَاغِمَة,جمع للاسم ضِرْغَام
حَالِقَة,قَطيعةُ الرَّحِم.
سِنِمَّار,القَمَر.
رَصَاص,عُنْصُرُ فِلِزّي ليِّن، كثيف يُقاوم التَّأَكّل نِسبيًا، يُسْتَخدم لِصنع الأَقطاب في بطاريّات السَّيَّارات. وينصهر عِنْد 327م.
مَزَاد,موضع المُزايدة.
نَصُور,مبالغة النَّاصِر.
مَفْغَرَة,الأَرْضُ الواسِعَة.
عَدِيّ,جَمَاعة القَوْم يَعْدُون للقتال.
أَرْسُل,جمع للاسم رَسُول
مَفَاتِيح,جمع للاسم مِفْتَاح
فَدَّان,مقدارٌ من الأَرْض الزِّرَاعِيَّة تختلف باختلاف البِلاد العَرَبِيَّة.
ظُرَّان,جمع للاسم ظِرّ
عَزْو,مصدر لفعل عَزَا
مِسَجَّة,أَدَاة يُطَيَّن بها.
جِرَاش,جمع للاسم جَرِيش
جَعَائِم,جمع للاسم جَعُوم
أَرَارِيس,جمع للاسم إِرِّيس
مُجَاج,ما تَمُجُّه من فيك.
وَاجِن,أَرضٌ صُلْبَةٌ ذَاتُ حجارة.
هَسّ,حديثُ النَّفْس.
قَرْحَاء,صفة مشبهة لفعل قَرِح
أَخِير,آخِر كل شيءٍ.
فِدًى,مصدر لفعل فَدَى
مَخْرُؤَة,المكان يُتَغوَّط فيه.
لَحْظَة,المرَّة من لَحْظ العَيْن.
فُوَم,جمع للاسم فُوْمَة
مَزَاعِم,جمع للاسم مَزْعَم
فَاغِيَة,نَوْرُ كلِّ نَبْتٍ ذي رَائِحَةٍ طيِّبة.
حُبُوض,مصدر لفعل حَبَضَ
زَفْزَف,الرِّيحُ الشَّديدَةُ الهُبوبِ في دوامٍ.
أَسْرَار,جمع للاسم سِرّ
تَسْنِيم,ماءٌ في الجَنَّة.
خَزْي,مصدر لفعل خَزَى
قُزَّعَة,خُصَلٌ من الشَّعْر تترَك على رأْس الصَّبِي كالذّوائب متفرقة في نواحي الرَّأْس.
السَّاقِي,من يقدم الشَّرَاب.
أَوْف,مصدر لفعل آف
طُعْم,كُلُّ ما يُؤْكَلُ وبه قِوامُ البَدَنِ.
لَجّ,مصدر لفعل لَجّ
دَبَل,مصدر لفعل دَبِل
أَسْبَاط,جمع للاسم سِبْط
أَتْلِيَاء,جمع للاسم تَلِيّ
رُعْرُع,الشَّابّ الحسن الاعتدال.
فُضُولِيّ,من الرِّجَال: المشْتَغِل بالفُضول أَي الأُمور الَّتِي لا تَعنيه.
قَوَافِل,جمع للاسم قَافِلَة
سَيَائِد,جمع للاسم سَيِّد
طِلاَح,جمع للاسم طِلْح
مقيت,المقتدر الحافظ للشي القادر عليه.
رَهُوم,المَهْزُولَة من الغَنَم.
دَيَابِيب,جمع للاسم دَيْبُوب
وَكْع,مصدر لفعل وَكَع
بُلُوح,مصدر لفعل بَلَح
خِدَاد,جمع للاسم خَدّ
أَثَاوِلَة,جمع للاسم أَثْوَل
قُفَّة,المَقْطَف الكبير.
أَبْهَاء,جمع للاسم بَهْو
كَيِّس,الظَّريف الفَطِن، الحَسَنُ الفَهم والأَدب.
غَرِيض,الماء الذي يورَد باكراً.
نُحَاب,السُّعال.
نَدْه,مصدر لفعل نَدَه
ذُرَا,اسم لما ذرته الرِّيح.
قَذِر,صفة مشبهة لفعل قَذِر
فَلَقَة,الخشبة.
فِرْطَاس,من الأنوف: العَريض.
بُرْجَاس,هدفٌ يُنصب على رُمح أَو ساريّة. ومعناها باليونانية: رمح أَو سارية في أَعلاه كرةٌ من ذَهَب أَو فِضَّة، يرميها الحُذَّاق وهم على الجياد.
رَمِيّ,الزِّيادة.
شِيَالَة,حرفة الشَّيَّال.
رَبَض,النَّاحية من الشَّيْء.
قَطْع,مصدر لفعل قَطَع
أَكْفَان,جمع للاسم كَفَن
رَانِف,مِنْ كُلِّ شَيْءٍٍ: ناحيته.
وَعْقَة,الشَّرَاسَة.
لَذًى,مصدر لفعل لَذِي
مَتَالّ,جمع للاسم مِتَلّ
غَثَرَة,الجَمَاعَة المختلطة من غوغاء النَّاس.
قَنْص,مصدر لفعل قَنَص
هَكَوَّك,السَّمين.
قِيثَارَة,آلة طرب ذات ستَّة أَوتار.
ثَرًى,مصدر لفعل ثَرِيَ
غِيَاصَة,حرفة الغَوَّاص.
تَلْد,المال الأَصلي القديم.
قُعّ,الماء الذي لا يوجد أَشَدُّ منه مُلُوحَةً، تحترق منه أَجواف الإِبل. للواحد والجمع.
أَثْلَة,متاع البَيْت.
خَرِيف,الفصل الثَّالِث من فصول  السَّنَة الأَربعة، يقعُ بعد الصَّيْف وقَبل الشِّتَاء. يبدأ فلكيًّا في نصف الكرة الشَّمَالِي من الاعتدال الخَرِيفِيّ. يمتد من 22أَو 23 أَيلول إِلى 21 كانون الأوّل. وينتهي بالانقلاب الشّتوي.
مُحِلاَّت,القِدرُ، والرَّحى، والدَّلْوُ، والقِرْبةُ، والجَفْنَةُ، والسّكّينُ، والفأْسُ، والزَّنْدُ. لأَن من كانت معه يَحُلُّ حيث يشاء مستغنيًا عن مجاورة النَّاس.
يَقُظ,مِنَ الرِّجَال: الذَّكِيّ الفَطِن النَّبِيه.
هَمْرَشَة,الحركة.
طُلُل,جمع للاسم طَلِيل
الجَارِي,في علم الاقتصاد: الثَّمن الجاري: هو الذي يتعيَّنُ في المنافسة الحُرَّةِ بنقطة توازن العرض والطّلب.
فَرَائِس,جمع للاسم فَرِيسَة
نِعَالَة,حرفةُ النَّعَّال.
قَيْنَة,الأَمة صانعةً أَو غيرَ صانعة، وغلب على المُغنيِّة.
حَجُون,الكسلان.
صَدَأ,طَبَقَةٌ تعلو الحديد ونحوه من المعادن، وتحدث من اتحاده بأوكسجين الهواء، ويسمَّى كيميائيًا بأكسيد الحديد.
رَجِيل,الرَّاجِل.
كُرَاعِيّ,بائع الأَكارِع.
وَاحِدِيَّة,في الفلسفة: مذْهَبٌ يَرُدُّ الكونَ كلَّه إِلى مبدأ واحدٍ، كالرُّوح المحْض، أَو كالطَّبيعة المحْضة.
عَذَارَى,جمع للاسم عَذْرَاء
بَضَاضَة,مصدر لفعل بَضّ
نَهْبَلَة,مِشْيَةٌ فيها ثِقَل.
شُهَّد,جمع للاسم شَاهِد
بُودَقَة,البُوتَقَة: الوِعَاء الذي يصهر فيه المعدِن وقد يستعمل في المعامل لأَغراض أُخرى، ويصنع من مواد صامدة للحرارة.
مِزْحَم,الشَّديد الدَّفْع في الزِّحَام.
قُبَّعَة,خرقة تخاطُ كالبُرْنس يَلْبَسَهُا الصِّبيان.
حَلُوّ,التّامّ الحلاوة.
مِفْنَخ,من الرِّجَال: من يَشتدُّ في إِذلال أَعدائه.
بَلَسَان,شَجَر له زهر أَبيض صغير كهَيْئَة العناقيد، أوراقه متقابلة، وثماره عنبيَّة، وهو من الفَصِيلة البخوريّة، ويستخرج من بعض أَنواعه دهن عطِر ينبت بعين شمس بظاهر القاهرة. ومن أسمائه: بَيْلَسَان.
عُذَر,جمع للاسم عُذْرَة
صَيْحَة,واحدةُ الصِّيَاح.
غَطْشَاء,صفة مشبهة لفعل غَطِش
نَتْع,مصدر لفعل نَتَع
شَرْج,مَسِيل الماء من الهضاب ونحوها إِلى السَّهل.
طَبَائِب,جمع للاسم طَبِيبَة
فَجْء,مصدر لفعل فَجَأ
لَهْبَى,صفة مشبهة لفعل لَهِب
نَزَائِع,جمع للاسم نَزِيعَة
هَدْيَة,الطَّرِيقَة والسِّيرة.
أَصْفَح,صفة مشبهة لفعل صَفِح
كَنَانِير,جمع للاسم كَنَّارَة
أَلْجِمَة,جمع للاسم لِجَام
مُحَصِّل,الذي يُخْرِجُ تراب المعْدِن.
مَثَاجّ,جمع للاسم مِثَجّ
زَنِج,صفة مشبهة لفعل زَنِج
نَفَّاط,مُسْتَخرج النَّفْط من مَعدِنه.
دُرُج,جمع للاسم دَرُوج
مُوسِيقَار,من حرفته الموسيقا.
مَنْهَر,موضعٌ يحتفره الماء.
قُولَنْج,مرضٌ مِعَويٌّ مؤلمٌ يصعب معه خروج البِراز والرِّيح، وسببه التهاب القَوْلون.
هَلْهَل,الرَّقيق الضَّعيف.
قَهْقَرَى,الرُّجُوع إِلَى خَلف.
جَدْلاَء,صفة مشبهة لفعل جَدِل
جَشِب,صفة مشبهة لفعل جَشِب
خُنَث,يقال للرَّجُل في الشتم: يا خُنَث.
وَزْي,مصدر لفعل وَزَى
أَوْحَال,جمع للاسم وَحْل
نِسْفَة,حجارةٌ سُودٌ ذاتُ نَخاريبَ يُنْسَفُ بها الوَسَخ عن الأَقدام في الحَمَّامات.
مَؤُونَة,القُوت.
مَدَاحِض,جمع للاسم مَدْحَضَة
عُمْر,مُدَّةُ الحياة.
مِحَن,جمع للاسم مِحْنَة
أَوْجَع,الأَكثر إِيجاعًا. [الإِيلام].
جِزَال,صِرام النَّخْل.
مَحْسُوس,المدرَك بإِحدى الحواسّ الخَمْس.
دَلاَلَة,الإِرشاد.
مُدْهُن,قارورة الدُّهن.
أَخْزَاق,جمع للاسم خُزُق
حَشَكَة,الجَمَاعَة.
بَوَائِع,جمع للاسم بَائِع
الفَادِي,لقب السَّيِّد المسيح.
هَكَر,مصدر لفعل هَكِر
حُذَاقِيّ,السّكِّين المحدَّد القاطِع.
جَاحِظِيَّة,فرقة من المتكلّمين المعتزلة، يُنسَبون إِلى الجاحظ.
مَوْجِب,مصدر لفعل وَجَب
ضُبَّاط,جمع للاسم ضَابِط
لِزَاق,ما يُلْزق به الشَّيْءُ كالغِراء ونحوه.
حُرَّاق,ما تقَعُ فيه النَّارُ عِنْد القدح من خِرقةٍ ونحوها.
شَائِل,كلُّ ما ارتفع.
جِزْمَة,القِطْعَة.
أَظْهَار,جمع للاسم ظُهْر
طِدَة,مصدر لفعل وَطَد
